Currency,2019-12-23,2019-12-24,2019-12-27,2019-12-30,2019-12-31,2020-01-02,2020-01-03,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-22
CAD,1.4577,1.4582,1.4592,1.4621,1.4598,1.4549,1.4471,1.4525,1.452,1.447,1.4505,1.4498,1.4514,1.4528,1.4565,1.4559,1.4498,1.4487,1.4512,1.4465,1.4599,1.4491,1.4539,1.4516,1.4496,1.4577,1.4627,1.4647,1.4671,1.4644,1.461,1.4604,1.458,1.4495,1.4468,1.4406,1.4363,1.4334,1.4345,1.4281,1.4304,1.432,1.4372,1.4403,1.4469,1.4636,1.4757,1.4857,1.4857,1.4862,1.5021,1.5213,1.5613,1.5579,1.5579,1.5524,1.5389,1.5539,1.5512,1.5749,1.5623,1.5257,1.551,1.5716,1.5539,1.5466,1.5521,1.5626,1.5617,1.5601,1.5451,1.5299,1.528,1.5259,1.5233,1.5265,1.5257,1.533,1.5359,1.528,1.5325,1.5393,1.5375,1.5226,1.5173,1.5255,1.5179,1.5129,1.5077,1.539,1.5201,1.5225,1.5177,1.5118,1.5136,1.5178,1.5243,1.5224,1.5231,1.5202,1.5251,1.5211,1.531,1.5273,1.5261,1.5184,1.5126,1.5155,1.528,1.5228,1.5106,1.5173,1.5203,1.5237,1.5126,1.5187,1.5228,1.5321,1.5347,1.5342,1.532,1.5204,1.5218,1.5209,1.521
HKD,8.6232,8.629,8.6845,8.7133,8.7473,8.7203,8.6713,8.6978,8.6836,8.6424,8.6317,8.6137,8.6504,8.6447,8.6591,8.6812,8.6292,8.6112,8.6362,8.617,8.6201,8.577,8.5745,8.5578,8.5503,8.5678,8.5843,8.5935,8.5805,8.5572,8.542,8.5168,8.5039,8.4658,8.4788,8.4398,8.4214,8.416,8.4024,8.3925,8.396,8.4117,8.4324,8.4445,8.4742,8.5456,8.555,8.6525,8.6471,8.6437,8.6936,8.8089,8.9041,8.8496,8.8071,8.7466,8.6255,8.6682,8.5274,8.4917,8.3849,8.3056,8.3631,8.4088,8.3941,8.5136,8.5095,8.5559,8.4945,8.4781,8.4545,8.3625,8.3651,8.4381,8.4277,8.4259,8.4975,8.4513,8.4391,8.4171,8.4168,8.3987,8.422,8.3489,8.3706,8.4104,8.4301,8.4029,8.43,8.4838,8.4057,8.3763,8.358,8.4052,8.3893,8.4154,8.4286,8.3647,8.3693,8.3964,8.487,8.4926,8.5298,8.4571,8.4599,8.5078,8.5204,8.5407,8.6347,8.6165,8.6609,8.6757,8.7189,8.7809,8.746,8.753,8.8157,8.795,8.7607,8.7211,8.7634,8.7049,8.6972,8.6889,8.6902
ISK,135.4,135.6,135.6,135.8,135.8,136.9,136.9,137.3,137.3,137.1,137.7,136.6,137.2,137.2,136.6,137.0,137.4,137.6,137.8,137.8,137.8,137.4,137.4,137.2,135.9,135.9,136.3,137.3,137.9,138.1,138.1,137.9,137.9,137.9,137.9,137.7,137.5,137.7,137.7,138.1,138.1,138.3,139.3,139.3,139.3,139.3,139.3,141.7,142.9,142.2,142.2,143.0,145.0,145.3,145.7,148.64,150.0,151.2,154.4,152.7,152.2,150.7,151.5,151.7,151.9,153.5,154.0,154.3,155.6,156.1,155.3,155.7,155.5,155.3,155.8,155.9,155.9,156.1,156.5,156.5,156.9,157.8,158.6,158.6,158.6,158.8,159.5,159.5,159.3,159.5,159.3,159.3,159.1,158.5,158.7,158.7,158.3,158.3,157.5,157.1,156.5,156.5,156.3,156.3,155.3,154.1,151.2,150.8,150.8,151.0,151.0,151.0,148.5,148.9,149.5,149.7,150.7,151.7,152.1,151.7,152.81,152.4,153.5,154.6,155.1
PHP,56.471,56.331,56.574,56.784,56.9,56.825,56.983,57.247,56.832,56.42,56.25,55.998,56.147,56.242,56.521,56.776,56.548,56.489,56.689,56.499,56.514,56.092,56.084,55.878,55.929,56.246,56.382,56.293,56.102,55.961,55.817,55.816,55.657,55.061,55.189,54.863,54.806,54.787,54.799,54.616,54.725,54.955,55.248,55.36,55.538,55.767,56.027,56.511,56.467,56.288,56.785,57.542,58.013,57.537,57.383,57.645,56.453,57.625,56.563,56.441,55.593,54.895,55.425,55.375,55.25,55.981,56.125,56.196,55.865,55.709,55.485,54.805,54.667,54.915,54.977,54.939,55.453,55.311,55.414,55.295,55.126,55.096,55.096,54.571,54.891,54.987,55.032,54.763,54.772,55.379,54.863,54.62,54.497,54.681,54.527,54.388,54.545,54.591,54.778,55.102,55.567,55.447,55.649,55.349,55.382,55.358,55.668,55.792,56.231,55.947,56.071,55.923,56.109,56.457,56.301,56.521,56.767,56.889,56.763,56.653,56.664,56.273,56.302,56.133,56.2
DKK,7.4719,7.4712,7.4704,7.4697,7.4715,7.4719,7.4731,7.4732,7.4731,7.4731,7.4731,7.4731,7.4732,7.4731,7.4727,7.4729,7.4729,7.4726,7.4725,7.4729,7.4732,7.473,7.4728,7.4728,7.4728,7.4729,7.4731,7.4729,7.4729,7.4728,7.4725,7.4724,7.4724,7.4721,7.4718,7.4721,7.4713,7.4701,7.4702,7.4693,7.4681,7.4702,7.4699,7.4701,7.471,7.4725,7.4723,7.473,7.473,7.4727,7.4712,7.4697,7.4695,7.4714,7.4726,7.4727,7.4732,7.4731,7.4732,7.4732,7.4731,7.4691,7.4706,7.4669,7.4682,7.4659,7.4606,7.4667,7.4674,7.4642,7.4661,7.4689,7.466,7.4675,7.464,7.4657,7.4623,7.4637,7.4619,7.4603,7.4584,7.4582,7.4589,7.4577,7.4577,7.4591,7.457,7.4571,7.4584,7.4622,7.4612,7.4618,7.4605,7.4598,7.4595,7.4577,7.4556,7.4573,7.4576,7.4548,7.4562,7.4565,7.4563,7.4578,7.4568,7.4558,7.4583,7.4544,7.4542,7.4549,7.4541,7.4547,7.4557,7.4564,7.4555,7.4568,7.4553,7.4549,7.4551,7.4559,7.4561,7.456,7.4556,7.4554,7.4543
HUF,331.24,331.76,330.83,331.04,330.53,329.98,330.53,329.66,331.28,331.08,332.51,333.85,334.29,332.77,332.94,333.84,335.59,336.39,335.32,335.61,337.19,336.01,337.53,337.18,337.39,338.36,337.05,337.7,336.32,335.76,336.76,338.15,337.37,337.93,339.49,337.12,335.67,334.64,334.83,336.33,338.0,337.1,337.61,337.41,339.28,338.37,337.57,336.92,336.68,334.96,335.7,335.48,336.25,336.2,335.46,338.37,338.88,344.97,347.04,351.38,356.06,350.91,352.33,353.07,354.97,354.99,355.65,358.72,360.02,369.36,363.73,365.15,365.24,357.62,359.34,354.76,350.7,350.3,349.56,351.81,354.57,355.02,355.11,357.51,355.19,354.57,355.94,355.55,352.72,353.27,350.27,349.59,349.36,349.38,349.84,350.75,353.58,354.66,354.7,353.39,350.35,350.61,348.59,349.4,350.72,349.6,348.7,349.74,348.73,345.45,345.67,345.89,344.9,344.62,344.16,345.0,343.13,344.85,346.0,347.06,345.5,344.5,345.94,345.44,346.6
CZK,25.499,25.485,25.509,25.463,25.408,25.411,25.36,25.301,25.276,25.265,25.253,25.265,25.23,25.155,25.144,25.17,25.147,25.125,25.066,25.136,25.159,25.16,25.231,25.221,25.208,25.25,25.21,25.177,25.143,25.055,24.893,25.03,25.026,24.965,24.878,24.835,24.828,24.793,24.898,24.962,25.037,25.061,25.186,25.226,25.344,25.283,25.39,25.525,25.475,25.34,25.346,25.458,25.504,25.725,25.77,26.203,26.042,26.96,26.985,27.154,27.606,27.191,27.635,27.808,27.446,27.55,27.299,27.315,27.312,27.369,27.553,27.539,27.603,27.215,27.183,26.909,26.864,26.991,27.053,27.163,27.328,27.447,27.534,27.551,27.31,27.184,27.227,27.125,27.097,27.119,26.978,26.987,27.158,27.251,27.6,27.423,27.408,27.571,27.589,27.61,27.49,27.43,27.212,27.21,27.275,27.073,27.051,27.017,26.921,26.859,26.645,26.66,26.623,26.589,26.585,26.634,26.609,26.679,26.698,26.683,26.564,26.561,26.689,26.683,26.681
AUD,1.6008,1.6019,1.5996,1.5992,1.5995,1.6006,1.6031,1.6119,1.6251,1.6195,1.6193,1.6132,1.6117,1.611,1.6188,1.6115,1.6122,1.6154,1.6177,1.6184,1.6149,1.6127,1.6291,1.629,1.6299,1.6412,1.6494,1.6521,1.6439,1.6299,1.6282,1.6417,1.6373,1.626,1.6175,1.6138,1.6151,1.6129,1.6195,1.6142,1.6294,1.6363,1.6384,1.6442,1.6565,1.6672,1.6875,1.6998,1.6911,1.6794,1.6917,1.7103,1.733,1.7377,1.7389,1.7674,1.7684,1.8198,1.8287,1.8568,1.8635,1.8226,1.8586,1.8315,1.7993,1.8162,1.8209,1.8021,1.7967,1.8053,1.797,1.8004,1.779,1.7578,1.7596,1.7444,1.7139,1.7299,1.7266,1.7088,1.7085,1.7266,1.7199,1.6918,1.6943,1.6795,1.6734,1.6655,1.6598,1.7022,1.6825,1.7046,1.6704,1.6613,1.6709,1.6625,1.6687,1.6805,1.6805,1.6736,1.6751,1.6653,1.671,1.6694,1.6678,1.6539,1.6565,1.6624,1.6681,1.6488,1.631,1.628,1.6276,1.6227,1.6156,1.6267,1.622,1.6421,1.6447,1.6476,1.6324,1.6292,1.6356,1.6261,1.6292
RON,4.7733,4.779,4.7818,4.7821,4.783,4.7828,4.7784,4.7743,4.7778,4.7774,4.7785,4.7796,4.7784,4.7795,4.7803,4.779,4.7803,4.7794,4.7785,4.7784,4.7788,4.7799,4.7808,4.7784,4.777,4.777,4.7789,4.7788,4.7763,4.7734,4.7655,4.7613,4.7663,4.7693,4.7663,4.7645,4.7684,4.7768,4.7823,4.7792,4.7979,4.804,4.8063,4.8098,4.805,4.81,4.813,4.8106,4.8087,4.8073,4.811,4.811,4.8175,4.8178,4.8213,4.8213,4.8213,4.8343,4.8418,4.845,4.8445,4.8505,4.8481,4.8357,4.8446,4.8335,4.8375,4.8278,4.8283,4.834,4.832,4.8307,4.8335,4.8315,4.8365,4.833,4.8343,4.8378,4.8373,4.8356,4.8377,4.8373,4.8391,4.8425,4.8419,4.837,4.8445,4.8435,4.8431,4.8368,4.826,4.8233,4.8235,4.828,4.8303,4.8301,4.8353,4.8375,4.84,4.8388,4.8428,4.842,4.8423,4.8435,4.842,4.844,4.8433,4.8435,4.8493,4.8437,4.8423,4.8393,4.8373,4.8382,4.8359,4.8365,4.8349,4.8345,4.8343,4.8335,4.8359,4.8355,4.8393,4.8428,4.8422
SEK,10.4473,10.4553,10.4363,10.44,10.4468,10.4728,10.4858,10.5308,10.5423,10.5108,10.533,10.551,10.5598,10.5248,10.559,10.5678,10.545,10.5548,10.5523,10.5528,10.5473,10.5363,10.5795,10.5993,10.5753,10.6398,10.6768,10.6808,10.6278,10.545,10.555,10.5455,10.5728,10.5373,10.4965,10.4823,10.5085,10.5323,10.5498,10.5743,10.5985,10.569,10.5833,10.5688,10.5813,10.5753,10.6738,10.6063,10.559,10.5555,10.5915,10.6145,10.7203,10.8015,10.7238,10.8945,10.8453,10.8998,10.9593,11.0223,11.1523,11.0598,11.0715,11.0888,10.9638,11.007,11.0158,11.0375,11.0613,10.9368,10.9265,10.952,10.9788,10.8788,10.9385,10.9455,10.9158,10.9323,10.8895,10.8548,10.8623,10.9543,10.9423,10.8883,10.8723,10.8748,10.748,10.7338,10.6639,10.8113,10.698,10.6278,10.62,10.5875,10.5998,10.5968,10.5843,10.6418,10.6695,10.6103,10.5685,10.5568,10.53,10.5373,10.549,10.5563,10.5608,10.548,10.487,10.4635,10.452,10.4588,10.4172,10.425,10.3978,10.4188,10.4605,10.5018,10.5103,10.5393,10.5136,10.5123,10.5525,10.567,10.5525
IDR,15489.5,15495.4,15573.91,15565.65,15595.6,15540.92,15536.69,15604.44,15501.15,15441.51,15387.35,15263.99,15243.73,15219.55,15262.3,15223.35,15184.91,15118.3,15197.89,15137.71,15141.43,15002.91,14999.51,15008.07,14991.61,15094.84,15091.51,15207.45,15146.81,15036.47,15000.81,15063.25,15037.15,14919.11,14912.89,14892.14,14870.88,14792.48,14780.06,14783.04,14790.39,14867.58,15098.95,15094.7,15221.86,15387.97,15749.25,15909.41,15877.0,15702.94,15851.98,16558.49,16488.05,16282.0,16269.99,16434.0,16400.61,16756.2,16681.66,16892.54,17187.09,17050.9,17872.82,17701.2,17447.71,17686.0,17716.88,18088.04,17869.24,18239.61,18166.12,17918.68,17710.73,17562.95,17636.02,17243.21,17229.09,17201.21,17089.8,16925.99,16871.01,17001.63,16935.13,16772.0,16875.0,16695.8,16714.69,16611.03,16178.05,16522.42,16372.93,16259.13,16223.02,16229.26,16202.32,16073.64,16092.26,16134.8,16127.82,16077.45,16177.5,16127.44,16205.75,16249.14,16048.61,16193.61,16167.76,16210.04,16269.7,16240.48,16107.32,15885.35,15856.88,15882.4,15815.42,15917.2,16022.03,15904.22,16058.24,16039.58,15978.26,15948.04,15806.19,15927.67,15988.62
INR,78.9455,78.9525,79.637,79.812,80.187,79.9065,80.0085,80.5175,80.265,79.709,79.162,78.6915,78.8225,78.7285,78.8825,79.221,78.9567,78.784,79.1345,78.8665,79.0965,78.67,78.7425,78.4545,78.417,79.011,78.9055,79.0035,78.712,78.433,78.2845,78.3625,78.107,77.6945,77.8345,77.4495,77.466,77.342,77.39,77.2345,77.2745,77.754,77.8265,77.724,77.9195,78.538,79.285,80.917,81.429,81.5025,82.153,83.586,84.96,84.11,83.5215,83.468,81.8765,82.8075,81.567,81.1355,81.14,80.465,82.1255,82.358,82.699,82.5345,82.8695,83.5,82.8985,83.6004,83.326,82.216,82.106,82.252,82.873,82.9275,83.494,83.414,83.705,83.0565,83.1435,83.376,83.1685,81.94,82.366,82.6195,82.522,82.0215,81.6108,82.787,82.1435,81.9815,81.7685,81.9615,82.096,81.593,81.8825,81.592,81.9885,82.1435,82.8535,82.8635,83.0545,82.7265,82.7925,82.927,83.245,83.4635,84.1025,83.938,84.039,84.5055,84.932,85.63,85.241,85.3085,85.903,86.057,85.7875,85.5275,86.048,85.5505,85.673,85.352,85.2585
BRL,4.522,4.5246,4.5157,4.5128,4.5157,4.487,4.5271,4.5461,4.5625,4.5092,4.5194,4.5188,4.5832,4.6056,4.635,4.6519,4.639,4.636,4.6661,4.6486,4.6253,4.6084,4.6467,4.6196,4.6089,4.6836,4.7157,4.717,4.6704,4.6614,4.6553,4.7078,4.721,4.6995,4.7286,4.7182,4.6927,4.6739,4.7009,4.7184,4.7341,4.755,4.7474,4.7569,4.7741,4.8975,4.9232,4.9938,5.0032,5.0146,5.148,5.2748,5.4418,5.3243,5.2874,5.5081,5.2042,5.5381,5.528,5.6133,5.6037,5.3937,5.4652,5.5116,5.4937,5.4806,5.5905,5.6511,5.7001,5.7349,5.7023,5.6893,5.7056,5.6678,5.6741,5.5956,5.6585,5.7116,5.699,5.6798,5.7463,5.7619,5.7866,5.8666,6.0128,6.0328,6.1004,5.9318,5.8565,6.0781,5.9576,6.0896,6.2271,6.3074,6.2691,6.2708,6.3606,6.3925,6.3172,6.2701,6.2357,6.2656,6.2532,6.0857,6.0243,5.9114,5.8679,5.8495,5.9654,5.9276,5.9499,5.7993,5.6989,5.7329,5.5702,5.4944,5.5213,5.6471,5.7388,5.8049,5.7647,5.8521,5.9738,6.0029,5.9248
RUB,69.0297,68.7932,69.2013,69.2781,69.9563,69.1893,69.119,69.4047,69.2576,68.6389,68.0757,68.041,68.0893,68.2418,68.4386,68.8102,68.2495,68.2075,68.73,68.6934,68.6301,68.1692,69.0442,68.9032,68.9755,69.6719,70.3375,70.5988,69.8725,69.032,69.4575,70.0203,70.112,69.3198,68.753,69.0209,68.9116,68.7554,68.9685,68.6245,68.806,69.548,70.6675,70.7943,71.2368,72.1052,73.6096,74.56,74.005,73.218,74.307,77.5058,85.1553,81.5975,81.3785,84.0284,80.7385,83.5905,82.346,87.0959,86.9346,85.1038,86.08,85.1561,84.8015,85.31,86.3819,88.1385,85.9486,86.475,85.8405,82.8075,82.481,82.5675,82.1046,80.69,80.3923,81.2045,80.621,80.365,80.9728,83.2936,83.1961,80.6062,80.3991,80.4926,80.6862,79.821,79.892,82.3404,80.4713,80.7789,79.5801,79.8383,79.6981,79.4157,79.5893,80.0145,79.6208,78.908,79.3839,78.6001,77.9883,77.9139,78.2874,77.7494,78.1096,77.9343,78.4416,77.4378,76.8001,77.0055,77.8132,77.8155,77.0563,77.7388,78.1468,78.4949,78.7662,78.8516,78.439,78.1853,78.2063,77.6565,77.8799
HRK,7.446,7.4455,7.4475,7.4485,7.4395,7.4445,7.4463,7.445,7.4478,7.449,7.446,7.4445,7.4445,7.445,7.4443,7.4418,7.4378,7.4358,7.4375,7.4375,7.4438,7.4415,7.4415,7.441,7.442,7.4423,7.444,7.4465,7.4518,7.4568,7.4563,7.455,7.455,7.459,7.4575,7.4513,7.449,7.4465,7.444,7.4453,7.4495,7.449,7.465,7.4567,7.4605,7.4625,7.4695,7.4835,7.4853,7.4848,7.4905,7.5035,7.55,7.5425,7.5745,7.6,7.563,7.5785,7.5823,7.5935,7.608,7.6098,7.606,7.6118,7.6083,7.6115,7.614,7.6265,7.6255,7.6285,7.6305,7.63,7.6255,7.632,7.6235,7.6175,7.613,7.61,7.601,7.5715,7.5503,7.57,7.57,7.575,7.5523,7.5525,7.56,7.564,7.579,7.582,7.5735,7.569,7.5665,7.5573,7.565,7.5653,7.5705,7.573,7.5693,7.558,7.5713,7.577,7.5805,7.5845,7.5845,7.584,7.5893,7.59,7.587,7.5895,7.5848,7.572,7.5725,7.5715,7.565,7.5719,7.569,7.5675,7.566,7.557,7.5475,7.546,7.5463,7.5665,7.5926
